Nell'esempio della cartella clinica cosa viola un hacker che legge i dati senza modificarli?;La riservatezza anche se il contenuto non viene alterato
Nell'esempio del vishing in aeroporto perché la vittima comunica un codice autentico a un criminale?;Perché crede di parlare con l'assistenza della compagnia aerea che le chiede di leggere il codice ricevuto via SMS
Nell'esempio dello smishing legato a una consegna cosa rischia chi clicca sul link ricevuto via SMS?;Di fornire credenziali dati di pagamento o di avviare il download di un'applicazione dannosa
Nell'esempio del quishing con la falsa multa cosa rende l'attacco particolarmente insidioso?;L'uso dello smartphone personale fuori dai controlli di sicurezza aziendali
Cosa rende lo Spear Phishing più difficile da riconoscere rispetto al phishing tradizionale?;Il fatto che venga costruito utilizzando informazioni reali sulla vittima raccolte in precedenza
Nell'esempio dell'azienda di componenti meccanici come raccoglie informazioni il criminale prima di agire?;Attraverso un Trojan che resta silenzioso nel computer del direttore acquisti leggendo email e documenti
Nell'esempio dello Spear Phishing aziendale cosa induce il cliente a effettuare un bonifico sbagliato?;Un'email che sembra provenire dal direttore acquisti e comunica un cambio di IBAN
Quali fasi caratterizzano il meccanismo psicologico delle truffe online secondo il testo?;Prima si conquista la fiducia poi si genera urgenza e infine si riduce il tempo disponibile per riflettere
Quale difesa viene indicata come più efficace contro le truffe online?;Fermarsi verificare e ragionare prima di agire
Nell'esempio del furto di identità digitale cosa fa il criminale dopo aver ottenuto la password email della vittima?;Accede anche ai social network e comincia a fingersi la vittima scrivendo ai suoi contatti
Nell'esempio dell'Account Takeover cosa nota la vittima quando prova ad accedere alla propria email?;Che la password non funziona più e che anche l'indirizzo di recupero è stato modificato dal criminale
In un esempio di profilo social molto seguito compromesso quali meccanismi di Social Engineering sfrutta il falso post pubblicato?;Autorità fiducia curiosità e urgenza
Cosa dimostra l'esempio del profilo social compromesso riguardo al valore di un account?;Che il vero obiettivo di chi lo controlla non è l'account in sé ma la fiducia delle persone che lo seguono
Cosa accadde al servizio PlayStation Network nel 2011?;Un attacco informatico compromise circa 77 milioni di account sottraendo email credenziali e dati personali degli utenti
Nel caso PlayStation Network gli utenti colpiti avevano necessariamente commesso un errore?;No molti avevano scelto password robuste e l'attacco colpì l'azienda che custodiva i dati e non direttamente gli utenti
Cosa insegna il caso PlayStation Network sulla responsabilità della sicurezza dei dati?;Che la sicurezza dipende sia dai comportamenti degli utenti sia dalla capacità delle organizzazioni di proteggere i dati
Nello scenario in cui l'utente non riconosce un'email di phishing e clicca sul link cosa succede?;Le credenziali vengono rubate e l'account viene compromesso
Nello scenario in cui l'utente riconosce un dominio sospetto e non clicca cosa succede al rischio?;Il rischio si annulla anche se la minaccia rimane presente
Nella metafora dell'automobile lasciata aperta con le chiavi nel cruscotto cosa rappresenta la vulnerabilità?;Il fatto che l'auto sia stata lasciata aperta con le chiavi accessibili
Nella metafora del castello applicata alla superficie d'attacco cosa aumenta con la crescita del castello?;Il numero di porte finestre ingressi secondari e punti di accesso da controllare
Nell'esempio della lampadina intelligente in un magazzino aziendale come riesce il criminale a entrare nella rete?;Sfruttando la password predefinita mai modificata del dispositivo collegato al Wi-Fi
Cosa fa il criminale una volta entrato nella rete tramite la lampadina intelligente?;Esplora altri sistemi trova un computer con password debole e risale fino al server con i dati dei clienti
Cosa accadde nell'attacco alla catena americana Target nel 2013?;I criminali compromisero l'account di un fornitore esterno per la climatizzazione e si spostarono nella rete fino ai sistemi di pagamento
Quali furono le conseguenze dell'attacco a Target nel 2013?;Il furto dei dati di circa 40 milioni di carte di pagamento e delle informazioni personali di circa 70 milioni di clienti
Cosa dimostra il caso Target riguardo al punto di ingresso di un attacco?;Che il punto di ingresso di un attacco raramente coincide con il vero obiettivo del criminale
Nella metafora del castello con la porta di servizio cosa rappresenta l'ingresso trovato dall'intruso?;Solo il punto di partenza e non l'obiettivo finale che è la sala del tesoro
Nella metafora dell'edificio protetto con guardie e telecamere chi riesce a entrare senza forzare nulla?;Un finto tecnico autorizzato a cui viene aperta la porta senza verificarne l'identità
Perché il Social Engineering si concentra sulle persone piuttosto che sui computer?;Perché il computer esegue istruzioni mentre la persona prende decisioni ed è su queste che agisce la manipolazione
Perché la cybersecurity punta a ridurre le vulnerabilità piuttosto che eliminare tutte le minacce?;Perché eliminare ogni minaccia è impossibile mentre ridurre le vulnerabilità diminuisce le probabilità che si trasformino in un danno
Secondo la metafora della casa applicata alla manutenzione della sicurezza cosa bisogna fare oltre a installare una porta blindata?;Controllare le serrature sostituire le chiavi smarrite e verificare che porte e finestre siano sempre chiuse
