Qual è il vantaggio principale di una CPU multicore rispetto a una single-core?,Permette di eseguire più operazioni realmente nello stesso istante senza dover saltare da un compito all'altro.
In quale condizione i core aggiuntivi di una CPU multicore restano inutilizzati?,Quando il carico di lavoro è leggero e non richiede elaborazione parallela.
Quale problema può insorgere se lo spazio di coordinamento tra i core è mal gestito?,Si può generare confusione ed inefficienza invece che prestazioni migliori.
Quali processori dual-core per il mercato consumer furono lanciati nel maggio 2005?,L'AMD Athlon 64 X2 e l'Intel Pentium D.
Come cambiò la strategia dei produttori di processori con l'arrivo dei sistemi multicore?,Si passò dal puntare solo sulla velocità del singolo core all'aggiunta di più core che lavorano insieme.
Cosa indica l'unità di misura GHz (Gigahertz) nella scheda tecnica di una CPU?,"La velocità del processore, ovvero il numero di operazioni eseguibili ogni secondo."
A quante operazioni elementari al secondo corrisponde un GHz?,Circa un miliardo di operazioni.
"Utilizzando la metafora del vigile, cosa rappresentano i GHz?",La velocità con cui il singolo vigile riesce a far passare le automobili.
Perché una CPU con GHz più alti è utile nell'apertura frequente di programmi?,Permette di completare le operazioni necessarie all'avvio in una frazione di secondo in meno.
Chi formulò l'osservazione empirica nota come Legge di Moore nel 1965?,"Gordon Moore, futuro co-fondatore di Intel."
Cosa prevede la Legge di Moore riguardo ai componenti di un circuito integrato?,Che il numero di componenti che è possibile inserire raddoppi a intervalli regolari (circa ogni due anni).
In quale rivista fu pubblicato l'articolo originale di Gordon Moore nel 1965?,Electronics.
"Nella metafora stradale, a cosa corrisponde l'aumento dei GHz?",All'innalzamento del limite di velocità della strada.
Quanti bit compongono esattamente un byte?,8 bit.
Qual è la minima unità che un computer usa per misurare e organizzare le informazioni?,Il byte.
"In codice binario, a quale sequenza di bit corrisponde la lettera A?",01000001.
A quanti Byte corrisponde un Kilobyte (KB)?,$1.024$ Byte.
Qual è l'equivalente in KB di un Megabyte (MB)?,$1.024$ KB.
A quanti Megabyte (MB) corrisponde un Gigabyte (GB)?,$1.024$ MB.
Qual è il valore di un Terabyte (TB) espresso in Gigabyte (GB)?,$1.024$ GB.
Perché un messaggio WhatsApp pesa più dei singoli byte dei caratteri che lo compongono?,"Perché include metadati come mittente, orario di invio e stato di consegna."
Chi coniò il termine 'byte' nel luglio del 1956?,Werner Buchholz.
Per quale progetto informatico fu inventato il termine 'byte'?,La progettazione del supercomputer IBM 7030 Stretch.
Perché Buchholz scelse l'ortografia 'byte' invece di 'bite'?,Per evitare confusione con il termine 'bit'.
"Nella metafora della spesa, quale unità rappresenta i Kilobyte (KB)?",L'etto.
"In un file di testo puro, quanto spazio occupa la parola 'CIAO'?",4 byte.
Qual è l'ordine di grandezza tipico per la dimensione di una singola foto?,Il Megabyte (MB).
Quale multiplo del byte si usa solitamente per misurare la capacità di un'intera app o di un video?,Il Gigabyte (GB).
Qual è il compito della ROM durante la fase di accensione del computer?,Fornire le istruzioni base necessarie per l'avvio del sistema.
Cosa differenzia fisicamente la RAM dai moduli di memoria di massa nella descrizione di Marco?,"La RAM si presenta come moduli allungati, mentre la memoria di massa conserva i dati stabilmente."
Quale componente è descritto come un 'piccolo quadrato metallico' all'interno del computer?,La CPU.
Cosa si intende per 'elaborazione parallela' in un contesto multicore?,La capacità di svolgere più compiti differenti contemporaneamente usando unità distinte.
"Nella metafora dei vigili, cosa accade se ci sono troppi vigili in un incrocio troppo piccolo?","Possono intralciarsi a vicenda, riducendo l'efficienza complessiva."
Perché la Legge di Moore non è considerata una legge scientifica in senso stretto?,Perché è un'osservazione empirica basata sull'andamento storico dell'industria.
In quale modo il computer 'vede' immagini o suoni?,Come sequenze di byte organizzate secondo regole precise.
"In termini di potenza di calcolo, qual era la caratteristica fondamentale dell'Intel 4004?",Racchiudeva l'intera capacità elaborativa in un unico chip di silicio di pochi millimetri.
Cosa determina il numero di 'corsie' disponibili per il traffico dati in una CPU?,Il numero di core presenti nel processore.
Quale componente del PC garantisce che tutti i pezzi collaborino correttamente per eseguire un'operazione?,La scheda madre (coordinando la comunicazione).
Termine: Bit,"Definizione: La più piccola unità di informazione digitale, rappresentata da 0 o 1."
Termine: Gigahertz (GHz),"Definizione: Unità di misura della frequenza di clock di una CPU, pari a un miliardo di cicli al secondo."
In quale anno Moore rivide la sua stima sul raddoppio dei componenti portandola a ogni due anni?,Nel 1975.
"Nella metafora del cantiere, dove finisce il materiale quando il cantiere è chiuso?",Nelle memorie di massa (il magazzino).
Quale unità di misura si usa tipicamente per archivi di dati molto grandi?,Il Terabyte (TB).
Quale componente riceve il segnale fisico del clic del mouse per primo nell'elaborazione?,La CPU (tramite i canali di input).
"Perché avere più core è utile per chi usa contemporaneamente Excel, WhatsApp e video?",Perché il carico di lavoro si distribuisce tra le diverse unità rendendo il sistema reattivo.
Cosa indica l'abbreviazione MB citata nel testo riguardo alla scheda madre?,Motherboard.
Qual era l'obiettivo dell'articolo 'Cramming More Components onto Integrated Circuits'?,Descrivere e prevedere la crescita della densità dei componenti nei circuiti integrati.
"Nel 1981, quale importante decisione di IBM favorì la nascita del mercato dei 'computer compatibili'?",La pubblicazione di una documentazione tecnica dettagliata sulla struttura interna del PC.
Qual è l'ordine di grandezza di un breve testo in termini di byte?,Il Kilobyte (KB).
Cosa succede alla RAM quando il computer viene spento?,I dati in essa contenuti vengono persi perché è una memoria temporanea.
Quale ingegnere giapponese collaborò allo sviluppo dell'Intel 4004?,Masatoshi Shima.
"In che modo la CPU decide quale richiesta gestire tra tastiera, mouse e programmi?",Ordinando ed eseguendo le richieste a grandissima velocità una dopo l'altra.
"Nella metafora stradale, cosa rappresenta una CPU a bassa velocità?",Una strada con limite a 30 km/h.
Qual è il rapporto numerico tra un Byte e un bit?,1 a 8 ($1 \text{ Byte} = 8 \text{ bit}$).
Quale componente è paragonato al 'motore' dell'automobile nel primo capitolo?,La CPU.
Perché la CPU è definita il 'cervello' del computer?,"Perché elabora, decide ed esegue tutte le istruzioni del sistema."
"Secondo la metafora della spesa, a cosa corrisponde una tonnellata di dati?",Al Terabyte (TB).
"Quale azienda produsse l'Athlon 64 X2, uno dei primi processori dual-core?",AMD.
Chi era il datore di lavoro di Werner Buchholz quando inventò il termine 'byte'?,IBM.
